id;scientific name;scientific name authorship;genus;family;order and higher taxonomic rank;decimal Longitude;decimal Latitude;depth;year;campaign;reference;vessel;basisOfRecord;
411;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;70.330000;-49.850000;145;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
412;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;70.353333;-49.836667;147;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
413;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;70.406667;-49.908333;168;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
414;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;70.441667;-49.933333;245;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
417;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;70.553333;-49.480000;75;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
418;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;70.688333;-49.056667;76;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
421;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;70.908333;-49.510000;140;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
171;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;67.131667;-48.985000;315;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
172;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;67.331667;-49.441667;301;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
175;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;67.511667;-49.005000;206;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
177;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;67.541667;-48.116667;365;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
187;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;67.885000;-49.466667;191;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
193;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;68.058333;-49.066667;178;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
196;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;68.178333;-49.456667;185;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
